lot,wafer,x,y,hbin,sbin,testdate,temp,testA,testB,testC
LOT123,W01,-2,6,1,1,2026-04-22,85,0.787,0.728,6.617
LOT123,W01,-2,7,1,1,2026-04-22,85,0.812,0.717,6.687
LOT123,W01,-1,-7,3,107,2026-04-22,85,1.198,0.679,5.299
LOT123,W01,-1,-6,1,1,2026-04-22,85,0.783,0.704,5.427
LOT123,W01,-1,-5,1,1,2026-04-22,85,0.737,0.709,5.467
LOT123,W01,-1,-4,1,1,2026-04-22,85,0.728,0.703,5.591
LOT123,W01,-1,-3,1,1,2026-04-22,85,0.729,0.707,5.711
LOT123,W01,-1,-2,1,1,2026-04-22,85,0.699,0.731,5.77
LOT123,W01,-1,-1,1,1,2026-04-22,85,0.687,0.699,5.896
LOT123,W01,-1,0,1,1,2026-04-22,85,0.68,0.741,6.025
LOT123,W01,-1,1,1,1,2026-04-22,85,0.687,0.717,6.117
LOT123,W01,-1,2,1,1,2026-04-22,85,0.716,0.7,6.189
LOT123,W01,-1,3,1,1,2026-04-22,85,0.72,0.709,6.389
LOT123,W01,-1,4,1,1,2026-04-22,85,0.749,0.73,6.445
LOT123,W01,-1,5,1,1,2026-04-22,85,0.766,0.673,6.569
LOT123,W01,-1,6,1,1,2026-04-22,85,0.784,0.713,6.543
LOT123,W01,-1,7,3,109,2026-04-22,85,1.211,0.714,6.765
LOT123,W01,0,-7,3,107,2026-04-22,85,1.173,0.735,5.345
LOT123,W01,0,-6,1,1,2026-04-22,85,0.79,0.715,5.404
LOT123,W01,0,-5,1,1,2026-04-22,85,0.776,0.701,5.519
LOT123,W01,0,-4,1,1,2026-04-22,85,0.722,0.718,5.609
LOT123,W01,0,-3,1,1,2026-04-22,85,0.714,0.677,5.699
LOT123,W01,0,-2,1,1,2026-04-22,85,0.705,0.704,5.766
LOT123,W01,0,-1,1,1,2026-04-22,85,0.667,0.709,5.909
LOT123,W01,0,0,1,1,2026-04-22,85,0.658,0.687,5.991
LOT123,W01,0,1,1,1,2026-04-22,85,0.67,0.693,6.077
LOT123,W01,0,2,1,1,2026-04-22,85,0.701,0.66,6.164
LOT123,W01,0,3,1,1,2026-04-22,85,0.724,0.702,6.324
LOT123,W01,0,4,1,1,2026-04-22,85,0.724,0.714,6.432
LOT123,W01,0,5,1,1,2026-04-22,85,0.762,0.699,6.411
LOT123,W01,0,6,1,1,2026-04-22,85,0.76,0.714,6.528
LOT123,W01,0,7,3,108,2026-04-22,85,1.205,0.701,6.719
LOT123,W01,1,-7,3,107,2026-04-22,85,1.226,0.723,5.274
LOT123,W01,1,-6,1,1,2026-04-22,85,0.786,0.655,5.44
LOT123,W01,1,-5,1,1,2026-04-22,85,0.758,0.705,5.476
LOT123,W01,1,-4,1,1,2026-04-22,85,0.734,0.698,5.556
LOT123,W01,1,-3,1,1,2026-04-22,85,0.715,0.689,5.67
LOT123,W01,1,-2,1,1,2026-04-22,85,0.694,0.688,5.876
LOT123,W01,1,-1,1,1,2026-04-22,85,0.701,0.704,5.959
LOT123,W01,1,0,1,1,2026-04-22,85,0.683,0.679,6.072
LOT123,W01,1,1,1,1,2026-04-22,85,0.688,0.707,6.165
LOT123,W01,1,2,1,1,2026-04-22,85,0.689,0.694,6.235
LOT123,W01,1,3,1,1,2026-04-22,85,0.741,0.678,6.275
LOT123,W01,1,4,1,1,2026-04-22,85,0.739,0.718,6.398
LOT123,W01,1,5,1,1,2026-04-22,85,0.787,0.688,6.503
LOT123,W01,1,6,1,1,2026-04-22,85,0.788,0.673,6.632
LOT123,W01,1,7,1,1,2026-04-22,85,0.796,0.699,6.684
LOT123,W01,2,-7,3,105,2026-04-22,85,1.226,0.693,5.319
LOT123,W01,2,-6,1,1,2026-04-22,85,0.8,0.67,5.371
LOT123,W01,2,-5,1,1,2026-04-22,85,0.758,0.71,5.472
LOT123,W01,2,-4,1,1,2026-04-22,85,0.737,0.672,5.619
LOT123,W01,2,-3,1,1,2026-04-22,85,0.734,0.667,5.637
LOT123,W01,2,-2,1,1,2026-04-22,85,0.707,0.685,5.804
LOT123,W01,2,-1,1,1,2026-04-22,85,0.729,0.697,5.95
LOT123,W01,2,0,1,1,2026-04-22,85,0.701,0.679,6.025
LOT123,W01,2,1,1,1,2026-04-22,85,0.712,0.67,6.063
LOT123,W01,2,2,1,1,2026-04-22,85,0.718,0.64,6.23
LOT123,W01,2,3,1,1,2026-04-22,85,0.75,0.651,6.268
LOT123,W01,2,4,1,1,2026-04-22,85,0.757,0.674,6.344
LOT123,W01,2,5,1,1,2026-04-22,85,0.763,0.695,6.525
LOT123,W01,2,6,1,1,2026-04-22,85,0.79,0.668,6.637
LOT123,W01,2,7,3,107,2026-04-22,85,1.195,0.691,6.667
LOT123,W01,3,-6,3,101,2026-04-22,85,1.191,0.679,5.341
LOT123,W01,3,-5,1,1,2026-04-22,85,0.78,0.685,5.558
LOT123,W01,3,-4,1,1,2026-04-22,85,0.742,0.698,5.56
LOT123,W01,3,-3,1,1,2026-04-22,85,0.747,0.712,5.781
LOT123,W01,3,-2,1,1,2026-04-22,85,0.734,0.673,5.734
LOT123,W01,3,-1,1,1,2026-04-22,85,0.706,0.71,5.898
LOT123,W01,3,0,1,1,2026-04-22,85,0.713,0.67,6.008
LOT123,W01,3,1,1,1,2026-04-22,85,0.71,0.699,6.105
LOT123,W01,3,2,1,1,2026-04-22,85,0.74,0.712,6.199
LOT123,W01,3,3,1,1,2026-04-22,85,0.747,0.665,6.311
LOT123,W01,3,4,1,1,2026-04-22,85,0.767,0.668,6.385
LOT123,W01,3,5,1,1,2026-04-22,85,0.779,0.688,6.487
LOT123,W01,3,6,1,1,2026-04-22,85,0.777,0.661,6.64
LOT123,W01,4,-6,3,102,2026-04-22,85,1.199,0.685,5.474
LOT123,W01,4,-5,1,1,2026-04-22,85,0.77,0.701,5.513
LOT123,W01,4,-4,1,1,2026-04-22,85,0.773,0.658,5.653
LOT123,W01,4,-3,1,1,2026-04-22,85,0.763,0.639,5.666
LOT123,W01,4,-2,1,1,2026-04-22,85,0.742,0.679,5.802
LOT123,W01,4,-1,1,1,2026-04-22,85,0.745,0.7,5.971
LOT123,W01,4,0,1,1,2026-04-22,85,0.752,0.685,6.03
LOT123,W01,4,1,1,1,2026-04-22,85,0.74,0.63,6.149
LOT123,W01,4,2,1,1,2026-04-22,85,0.731,0.661,6.23
LOT123,W01,4,3,1,1,2026-04-22,85,0.754,0.665,6.347
LOT123,W01,4,4,1,1,2026-04-22,85,0.756,0.65,6.391
LOT123,W01,4,5,1,1,2026-04-22,85,0.779,0.636,6.483
LOT123,W01,4,6,3,106,2026-04-22,85,1.204,0.651,6.503
LOT123,W01,5,-5,1,1,2026-04-22,85,0.804,0.634,5.618
LOT123,W01,5,-4,1,1,2026-04-22,85,0.794,0.635,5.505
LOT123,W01,5,-3,1,1,2026-04-22,85,0.768,0.639,5.746
LOT123,W01,5,-2,1,1,2026-04-22,85,0.756,0.659,5.776
LOT123,W01,5,-1,1,1,2026-04-22,85,0.753,0.644,5.869
LOT123,W01,5,0,1,1,2026-04-22,85,0.775,0.616,5.991
LOT123,W01,5,1,1,1,2026-04-22,85,0.751,0.645,6.109
LOT123,W01,5,2,1,1,2026-04-22,85,0.778,0.632,6.184
LOT123,W01,5,3,1,1,2026-04-22,85,0.778,0.621,6.247
LOT123,W01,5,4,1,1,2026-04-22,85,0.79,0.658,6.397
LOT123,W01,5,5,1,1,2026-04-22,85,0.797,0.624,6.404
LOT123,W01,6,-4,1,1,2026-04-22,85,0.814,0.644,5.523
LOT123,W01,6,-3,3,108,2026-04-22,85,1.191,0.62,5.724
LOT123,W01,6,-2,1,1,2026-04-22,85,0.779,0.656,5.737
LOT123,W01,6,-1,1,1,2026-04-22,85,0.776,0.639,5.943
LOT123,W01,6,0,1,1,2026-04-22,85,0.772,0.647,6.047
LOT123,W01,6,1,1,1,2026-04-22,85,0.771,0.589,6.155
LOT123,W01,6,2,1,1,2026-04-22,85,0.781,0.629,6.301
LOT123,W01,6,3,1,1,2026-04-22,85,0.8,0.655,6.289
LOT123,W01,6,4,3,105,2026-04-22,85,1.202,0.664,6.461
LOT123,W01,7,-2,3,106,2026-04-22,85,1.196,0.632,5.919
LOT123,W01,7,-1,3,101,2026-04-22,85,1.194,0.608,5.868
LOT123,W01,7,0,3,106,2026-04-22,85,1.199,0.629,5.979
LOT123,W01,7,1,3,108,2026-04-22,85,1.2,0.644,6.107
LOT123,W01,7,2,3,109,2026-04-22,85,1.208,0.616,6.278
LOT123,W02,-7,-2,1,1,2026-04-22,25,0.755,0.783,5.745
LOT123,W02,-7,-1,3,101,2026-04-22,25,1.12,0.763,5.887
LOT123,W02,-7,0,1,1,2026-04-22,25,0.746,0.768,6.009
LOT123,W02,-7,1,1,1,2026-04-22,25,0.726,0.753,6.053
LOT123,W02,-7,2,3,101,2026-04-22,25,1.113,0.789,6.194
LOT123,W02,-6,-4,3,105,2026-04-22,25,1.123,0.749,5.65
LOT123,W02,-6,-3,3,107,2026-04-22,25,1.108,0.766,5.777
LOT123,W02,-6,-2,1,1,2026-04-22,25,0.736,0.774,5.764
LOT123,W02,-6,-1,1,1,2026-04-22,25,0.728,0.787,5.847
LOT123,W02,-6,0,1,1,2026-04-22,25,0.713,0.763,6.141
LOT123,W02,-6,1,1,1,2026-04-22,25,0.71,0.787,6.096
LOT123,W02,-6,2,1,1,2026-04-22,25,0.727,0.756,6.096
LOT123,W02,-6,3,3,108,2026-04-22,25,1.078,0.771,6.339
